zcta5,total_25yo,edu_gr9,edu_gr12_nd,edu_hs,edu_col_nd,edu_asc,edu_ba,edu_grad,edu_min_hs,edu_min_ba
11697,2916,25,169,365,553,274,780,750,2722,1530
11701,19603,1555,1288,5299,3329,2327,2865,2940,16760,5805
11702,10747,181,182,2112,1653,926,3129,2564,10384,5693
11703,11926,302,583,3202,2338,1695,2454,1352,11041,3806
11704,29095,1890,1486,8869,4979,3024,4893,3954,25719,8847
11705,5951,33,106,1017,966,519,1718,1592,5812,3310
11706,44282,3562,3165,13082,7979,4265,6793,5436,37555,12229
11709,5115,112,132,993,842,328,1322,1386,4871,2708
11710,24722,242,547,5195,3626,2106,7166,5840,23933,13006
11713,6128,340,344,1731,1239,600,999,875,5444,1874
11714,16138,431,497,4402,2485,1493,4170,2660,15210,6830
11715,2869,30,23,793,286,298,719,720,2816,1439
11716,7162,129,272,2137,1095,788,1728,1013,6761,2741
11717,44075,9517,3726,12886,7327,3053,4575,2991,30832,7566
11718,2067,17,12,268,317,219,709,525,2038,1234
11719,2438,83,93,774,446,206,428,408,2262,836
11720,19647,552,1039,5529,3467,2109,3514,3437,18056,6951
11721,4846,89,19,434,565,307,1840,1592,4738,3432
11722,23644,3428,2431,7504,4234,1650,2742,1655,17785,4397
11724,1798,50,11,113,122,57,706,739,1737,1445
11725,19888,282,332,3225,2807,1780,6113,5349,19274,11462
11726,14464,925,1744,4210,2492,1639,2237,1217,11795,3454
11727,21360,569,1411,6016,4634,2235,3976,2519,19380,6495
11729,19092,671,575,4994,3725,1861,4055,3211,17846,7266
11730,10185,256,311,2790,1996,1081,1948,1803,9618,3751
11731,21487,372,430,4388,3630,1984,5691,4992,20685,10683
11732,2762,10,17,500,392,307,908,628,2735,1536
11733,11861,179,164,1672,1328,1017,2753,4748,11518,7501
11735,23562,1082,623,5829,3642,1960,6056,4370,21857,10426
11738,13017,760,854,3794,1982,1515,2493,1619,11403,4112
11739,1016,0,39,202,83,95,281,316,977,597
11740,7516,343,166,1468,900,670,2044,1925,7007,3969
11741,19328,542,992,5407,3461,2078,3944,2904,17794,6848
11742,9561,443,494,2810,1680,897,1763,1474,8624,3237
11743,29957,855,500,3686,3542,2360,9520,9494,28602,19014
11746,47732,3236,1977,8374,6479,3804,12413,11449,42519,23862
11747,15025,616,251,1735,1968,1149,4564,4742,14158,9306
11749,2663,170,105,789,507,338,395,359,2388,754
11751,10317,889,381,2861,1450,1087,1933,1716,9047,3649
11752,6715,200,146,2143,1381,677,1161,1007,6369,2168
11753,8624,275,222,971,484,443,2964,3265,8127,6229
11754,13199,247,290,2945,2422,1416,3134,2745,12662,5879
11755,8246,155,251,1971,1227,699,2257,1686,7840,3943
11756,30418,817,1327,8465,5681,3344,5803,4981,28274,10784
11757,32609,1471,1396,11008,6046,3194,5864,3630,29742,9494
11758,39496,825,654,10041,5659,3565,10333,8419,38017,18752
11762,16187,178,276,3811,2417,1554,4334,3617,15733,7951
11763,20923,1022,1166,6954,3800,2444,3345,2192,18735,5537
11764,8491,254,201,2048,1177,932,1893,1986,8036,3879
11765,473,6,15,24,34,18,155,221,452,376
11766,8051,165,363,1705,1088,768,1981,1981,7523,3962
11767,9902,216,207,2665,1508,895,2825,1586,9479,4411
11768,15491,104,113,1948,2186,1545,4935,4660,15274,9595
11769,7069,79,122,1659,1058,929,1866,1356,6868,3222
11770,86,13,0,19,21,13,14,6,73,20
11771,7101,59,272,888,956,584,2342,2000,6770,4342
11772,32662,1626,1828,8972,5997,3997,5848,4394,29208,10242
11776,16363,421,912,4493,2918,1227,3778,2614,15030,6392
