zcta5,inc_total,inc_10k,inc_15k,inc_25k,inc_35k,inc_50k,inc_75k,inc_100k,inc_150k,inc_200k,inc_200kplus,inc_mean,inc_avg,ins_total_pop,ins_total,ins_private,ins_public,no_ins_total,pov_families,pov_all
12182,6737,5.6,6.6,16.3,8.1,9.1,16.8,12.6,14.3,6.7,3.8,54190,74147,14661,96.5,60.0,50.3,3.5,21.4,22.1
12183,1344,0.7,3.7,10.0,18.0,11.2,15.8,18.7,14.1,1.8,6.0,64018,73669,2968,95.1,61.6,51.1,4.9,15.0,26.0
12184,2859,1.9,2.3,6.2,6.8,8.1,16.5,12.2,22.4,7.1,16.6,92344,131283,7077,96.5,75.3,40.7,3.5,5.4,8.1
12185,688,2.2,1.9,5.2,3.9,6.4,13.4,15.7,19.6,22.2,9.4,105735,118879,1754,98.3,86.1,28.3,1.7,3.6,4.4
12186,2536,3.5,2.7,2.9,2.8,6.2,16.8,7.6,24.2,10.1,23.2,113684,141782,6325,98.8,85.9,28.9,1.2,7.2,6.5
12187,294,16.0,6.8,0.0,2.0,9.9,15.6,14.3,13.6,5.1,16.7,72083,88670,701,93.0,73.3,35.8,7.0,0.0,15.2
12188,5011,1.6,4.8,4.5,7.5,10.9,15.5,10.5,24.5,6.9,13.4,83496,103876,11566,95.7,80.3,32.3,4.3,1.5,4.2
12189,8731,8.2,3.2,9.3,9.1,13.2,20.1,10.3,13.9,5.2,7.3,57536,79415,18426,97.4,70.6,41.0,2.6,9.7,14.1
12190,203,0.0,1.5,8.4,7.9,29.1,7.4,26.6,15.3,0.0,3.9,53977,80090,641,91.9,70.0,37.3,8.1,0.0,4.8
12192,569,0.0,1.6,3.2,12.0,10.4,15.8,17.2,22.7,9.5,7.7,83375,95780,1496,99.1,74.4,45.8,0.9,0.0,0.4
12193,773,3.0,3.0,4.5,2.5,12.9,23.2,7.9,17.1,26.0,0.0,76442,95385,1674,97.5,87.3,43.4,2.5,8.8,9.0
12194,58,0.0,0.0,13.8,5.2,25.9,13.8,25.9,5.2,10.3,0.0,58214,71579,177,100.0,80.2,47.5,0.0,20.0,14.1
12195,98,0.0,0.0,0.0,14.3,0.0,0.0,0.0,68.4,17.3,0.0,138571,127665,184,100.0,83.7,22.3,0.0,0.0,0.0
12196,1310,1.5,1.0,5.1,1.9,6.3,8.9,12.5,33.7,17.2,11.8,110000,127566,3954,100.0,87.2,34.4,0.0,4.9,4.8
